ds,YEAR,y
1900-01-01,1900,9.5
1901-01-01,1901,2.7
1902-01-01,1902,5.0
1903-01-01,1903,24.4
1904-01-01,1904,42.0
1905-01-01,1905,63.5
1906-01-01,1906,53.8
1907-01-01,1907,62.0
1908-01-01,1908,48.5
1909-01-01,1909,43.9
1910-01-01,1910,18.6
1911-01-01,1911,5.7
1912-01-01,1912,3.6
1913-01-01,1913,1.4
1914-01-01,1914,9.6
1915-01-01,1915,47.4
1916-01-01,1916,57.1
1917-01-01,1917,103.9
1918-01-01,1918,80.6
1919-01-01,1919,63.6
1920-01-01,1920,37.6
1921-01-01,1921,26.1
1922-01-01,1922,14.2
1923-01-01,1923,5.8
1924-01-01,1924,16.7
1925-01-01,1925,44.3
1926-01-01,1926,63.9
1927-01-01,1927,69.0
1928-01-01,1928,77.8
1929-01-01,1929,64.9
1930-01-01,1930,35.7
1931-01-01,1931,21.2
1932-01-01,1932,11.1
1933-01-01,1933,5.7
1934-01-01,1934,8.7
1935-01-01,1935,36.1
1936-01-01,1936,79.7
1937-01-01,1937,114.4
1938-01-01,1938,109.6
1939-01-01,1939,88.8
1940-01-01,1940,67.8
1941-01-01,1941,47.5
1942-01-01,1942,30.6
1943-01-01,1943,16.3
1944-01-01,1944,9.6
1945-01-01,1945,33.2
1946-01-01,1946,92.6
1947-01-01,1947,151.6
1948-01-01,1948,136.3
1949-01-01,1949,134.7
1950-01-01,1950,83.9
1951-01-01,1951,69.4
1952-01-01,1952,31.5
1953-01-01,1953,13.9
1954-01-01,1954,4.4
1955-01-01,1955,38.0
1956-01-01,1956,141.7
1957-01-01,1957,190.2
1958-01-01,1958,184.8
1959-01-01,1959,159.0
1960-01-01,1960,112.3
1961-01-01,1961,53.9
1962-01-01,1962,37.6
1963-01-01,1963,27.9
1964-01-01,1964,10.2
1965-01-01,1965,15.1
1966-01-01,1966,47.0
1967-01-01,1967,93.8
1968-01-01,1968,105.9
1969-01-01,1969,105.5
1970-01-01,1970,104.5
1971-01-01,1971,66.6
1972-01-01,1972,68.9
1973-01-01,1973,38.0
1974-01-01,1974,34.5
1975-01-01,1975,15.5
1976-01-01,1976,12.6
1977-01-01,1977,27.5
1978-01-01,1978,92.5
1979-01-01,1979,155.4
1980-01-01,1980,154.6
1981-01-01,1981,140.4
1982-01-01,1982,115.9
1983-01-01,1983,66.6
1984-01-01,1984,45.9
1985-01-01,1985,17.9
1986-01-01,1986,13.4
1987-01-01,1987,29.4
1988-01-01,1988,100.2
1989-01-01,1989,157.6
1990-01-01,1990,142.6
1991-01-01,1991,145.7
1992-01-01,1992,94.3
1993-01-01,1993,54.6
1994-01-01,1994,29.9
1995-01-01,1995,17.5
1996-01-01,1996,8.6
1997-01-01,1997,21.5
1998-01-01,1998,64.3
1999-01-01,1999,93.3
2000-01-01,2000,119.6
2001-01-01,2001,111.0
2002-01-01,2002,104.0
2003-01-01,2003,63.7
2004-01-01,2004,40.4
2005-01-01,2005,29.8
2006-01-01,2006,15.2
2007-01-01,2007,7.5
2008-01-01,2008,2.9
